,Price,Area,rooms,type,Date,City,District,price_per_m2
0,40000.0,44.0,1,new,"June 24, 2023",Tashkent,Yunusabad district,909.09
2,60000.0,42.61,1,new,"June 15, 2023",Tashkent,Yunusabad district,1408.12
6,45000.0,42.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,1071.43
10,71891.0,46.0,1,new,"June 25, 2023",Tashkent,Yunusabad district,1562.85
16,43500.0,43.0,1,new,"June 20, 2023",Tashkent,Yunusabad district,1011.63
29,39500.0,45.0,1,new,"June 24, 2023",Tashkent,Almazar district,877.78
31,45000.0,44.0,1,new,"June 11, 2023",Tashkent,Almazar district,1022.73
34,49000.0,42.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1166.67
37,45000.0,44.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1022.73
41,56000.0,43.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1302.33
42,46500.0,45.0,1,new,"June 25, 2023",Tashkent,Yunusabad district,1033.33
43,44500.0,45.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,988.89
44,57000.0,42.0,1,new,"June 25, 2023",Tashkent,Yakkasarai district,1357.14
45,60000.0,50.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,1200.0
46,55000.0,42.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1309.52
48,72000.0,45.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,1600.0
49,44000.0,50.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,880.0
52,75000.0,42.0,1,new,"June 25, 2023",Tashkent,Yunusabad district,1785.71
53,53000.0,45.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1177.78
57,46400.0,43.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1079.07
64,47000.0,44.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,1068.18
83,36200.0,45.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,804.44
93,46000.0,42.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1095.24
112,41200.0,42.0,1,new,"June 25, 2023",Tashkent,Uchtepinsky district,980.95
113,40000.0,48.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,833.33
117,53000.0,58.0,1,new,"June 25, 2023",Tashkent,Almazar district,913.79
121,38000.0,42.0,1,new,"June 25, 2023",Tashkent,Mirabad district,904.76
134,45000.0,43.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1046.51
136,40500.0,42.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,964.29
140,54500.0,43.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1267.44
149,49000.0,45.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1088.89
156,48500.0,45.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1077.78
160,63000.0,50.0,1,new,"June 25, 2023",Tashkent,Yakkasarai district,1260.0
161,63000.0,50.0,1,new,"June 25, 2023",Tashkent,Mirabad district,1260.0
162,63000.0,50.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1260.0
169,46500.0,46.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1010.87
171,61000.0,48.0,1,new,"June 25, 2023",Tashkent,Yunusabad district,1270.83
174,33000.0,42.0,1,new,"June 25, 2023",Tashkent,Yashnabad district,785.71
175,55500.0,48.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1156.25
182,36200.0,45.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,804.44
192,54000.0,45.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1200.0
201,60000.0,43.0,1,new,"June 25, 2023",Tashkent,Yunusabad district,1395.35
203,48500.0,42.0,1,new,"June 25, 2023",Tashkent,Almazar district,1154.76
213,51200.0,42.0,1,new,"June 25, 2023",Tashkent,Chilanzar district,1219.05
226,46000.0,45.0,1,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1022.22
231,80000.0,42.0,1,new,"June 25, 2023",Tashkent,Yakkasarai district,1904.76
242,39000.0,64.0,2,new,"June 25, 2023",Tashkent,Bektemir district,609.38
243,70000.0,80.0,2,new,"June 23, 2023",Tashkent,Almazar district,875.0
244,56500.0,48.0,2,new,"June 25, 2023",Tashkent,Chilanzar district,1177.08
245,82500.0,70.0,2,new,"June 25, 2023",Tashkent,Chilanzar district,1178.57
246,57000.0,47.0,2,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1212.77
247,56000.0,48.0,2,new,"June 24, 2023",Tashkent,Yashnabad district,1166.67
248,62000.0,58.0,2,new,"June 25, 2023",Tashkent,Shaikhantahur district,1068.97
249,84500.0,70.0,2,new,"June 25, 2023",Tashkent,Mirabad district,1207.14
250,49000.0,50.0,2,new,"June 25, 2023",Tashkent,Chilanzar district,980.0
251,33500.0,46.0,2,new,"June 25, 2023",Tashkent,Yashnabad district,728.26
252,65000.0,62.0,2,new,"June 25, 2023",Tashkent,Almazar district,1048.39
253,43000.0,56.0,2,new,"June 25, 2023",Tashkent,Yashnabad district,767.86
254,49700.0,50.0,2,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,994.0
255,75000.0,56.0,2,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1339.29
256,70000.0,60.0,2,new,"June 25, 2023",Tashkent,Sergeli district,1166.67
257,50000.0,58.0,2,new,"May 31, 2023",Tashkent,Sergeli district,862.07
258,92000.0,65.0,2,new,"June 24, 2023",Tashkent,Yakkasarai district,1415.38
259,75000.0,60.27,2,new,"June 24, 2023",Tashkent,Sergeli district,1244.4
260,50000.0,60.0,2,new,"June 25, 2023",Tashkent,Almazar district,833.33
261,55000.0,58.0,2,new,"June 21, 2023",Tashkent,Almazar district,948.28
262,62500.0,50.0,2,new,"June 25, 2023",Tashkent,Chilanzar district,1250.0
263,66500.0,47.0,2,new,"June 24, 2023",Tashkent,Chilanzar district,1414.89
264,61500.0,60.55,2,new,"June 25, 2023",Tashkent,Almazar district,1015.69
265,65000.0,60.0,2,new,"June 25, 2023",Tashkent,Yashnabad district,1083.33
266,68000.0,65.0,2,new,"June 25, 2023",Tashkent,Chilanzar district,1046.15
267,51500.0,42.0,2,new,"June 23, 2023",Tashkent,Chilanzar district,1226.19
268,218000.0,60.0,2,new,"June 24, 2023",Tashkent,Shaikhantahur district,3633.33
269,61000.0,58.0,2,new,"June 24, 2023",Tashkent,Almazar district,1051.72
270,66000.0,57.0,2,new,"June 25, 2023",Tashkent,Yunusabad district,1157.89
271,70000.0,50.0,2,new,"June 24, 2023",Tashkent,Yunusabad district,1400.0
272,63000.0,58.0,2,new,"June 25, 2023",Tashkent,Yunusabad district,1086.21
274,79000.0,62.6,2,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1261.98
275,50500.0,50.0,2,new,"June 24, 2023",Tashkent,Mirzo-Ulugbek district,1010.0
276,119000.0,65.0,2,new,"June 24, 2023",Tashkent,Yunusabad district,1830.77
277,53500.0,57.0,2,new,"June 24, 2023",Tashkent,Yunusabad district,938.6
278,90000.0,55.0,2,new,"June 24, 2023",Tashkent,Chilanzar district,1636.36
279,78000.0,52.0,2,new,"June 23, 2023",Tashkent,Yunusabad district,1500.0
280,80000.0,74.0,2,new,"June 25, 2023",Tashkent,Almazar district,1081.08
281,55000.0,60.0,2,new,"June 24, 2023",Tashkent,Almazar district,916.67
282,66000.0,48.0,2,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1375.0
283,76500.0,66.0,2,new,"June 25, 2023",Tashkent,Mirabad district,1159.09
284,67000.0,63.0,2,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1063.49
285,75000.0,58.0,2,new,"June 25, 2023",Tashkent,Yakkasarai district,1293.1
286,52000.0,50.0,2,new,"June 25, 2023",Tashkent,Sergeli district,1040.0
